Time,Channel A
(ms),(V)

17.67347443,0.00000000
17.67397843,0.04675197
17.67448243,0.04675197
17.67498643,0.00000000
17.67549043,-0.04675197
17.67599443,0.00000000
17.67649843,0.00000000
17.67700243,0.00000000
17.67750643,0.00000000
17.67801043,0.00000000
17.67851443,0.00000000
17.67901843,0.00000000
17.67952243,0.00000000
17.68002643,0.00000000
17.68053043,0.00000000
17.68103443,0.00000000
17.68153843,0.04675197
17.68204243,0.04675197
17.68254643,0.00000000
17.68305043,0.00000000
17.68355443,0.04675197
17.68405843,0.00000000
17.68456243,0.04675197
17.68506643,0.00000000
17.68557043,0.04675197
17.68607443,0.00000000
17.68657843,0.00000000
17.68708243,0.00000000
17.68758643,0.00000000
17.68809043,0.00000000
17.68859443,0.00000000
17.68909843,-0.04675197
17.68960243,0.00000000
17.69010643,0.00000000
17.69061043,0.04675197
17.69111443,0.00000000
17.69161843,0.04675197
17.69212243,0.00000000
17.69262643,0.00000000
17.69313043,0.00000000
17.69363443,0.00000000
17.69413843,0.04675197
17.69464243,0.00000000
17.69514643,0.00000000
17.69565043,0.04675197
17.69615443,-0.09350394
17.69665843,0.00000000
17.69716243,0.00000000
17.69766643,0.04675197
17.69817043,0.00000000
17.69867443,0.00000000
17.69917843,-0.04675197
17.69968243,0.00000000
17.70018643,0.04675197
17.70069043,0.04675197
17.70119443,0.00000000
17.70169843,0.00000000
17.70220243,0.00000000
17.70270643,0.04675197
17.70321043,0.00000000
17.70371443,0.00000000
17.70421843,-0.04675197
17.70472243,0.00000000
17.70522643,0.00000000
17.70573043,0.04675197
17.70623443,0.00000000
17.70673843,0.00000000
17.70724243,0.00000000
17.70774643,0.00000000
17.70825043,0.04675197
17.70875443,0.04675197
17.70925843,0.00000000
17.70976243,0.04675197
17.71026643,0.00000000
17.71077043,0.00000000
17.71127443,0.00000000
17.71177843,0.04675197
17.71228243,0.00000000
17.71278643,0.04675197
17.71329043,0.00000000
17.71379443,0.04675197
17.71429843,0.00000000
17.71480243,0.00000000
17.71530643,0.00000000
17.71581043,0.00000000
17.71631443,0.00000000
17.71681843,0.04675197
17.71732243,0.00000000
17.71782643,0.00000000
17.71833043,0.04675197
17.71883443,0.00000000
17.71933843,0.00000000
17.71984243,0.09350394
17.72034643,-0.04675197
17.72085043,0.04675197
17.72135443,0.04675197
17.72185843,0.00000000
17.72236243,0.00000000
17.72286643,0.00000000
17.72337043,0.04675197
17.72387443,0.04675197
17.72437843,0.00000000
17.72488243,0.00000000
17.72538643,0.00000000
17.72589043,0.04675197
17.72639443,0.00000000
17.72689843,0.00000000
17.72740243,0.00000000
17.72790643,0.00000000
17.72841043,0.00000000
17.72891443,-0.04675197
17.72941843,0.04675197
17.72992243,0.00000000
17.73042643,0.00000000
17.73093043,0.00000000
17.73143443,-0.04675197
17.73193843,0.00000000
17.73244243,-0.04675197
17.73294643,0.00000000
17.73345043,0.04675197
17.73395443,0.04675197
17.73445843,0.00000000
17.73496243,0.00000000
17.73546643,0.04675197
17.73597043,0.00000000
17.73647443,0.04675197
17.73697843,0.00000000
17.73748243,0.00000000
17.73798643,0.00000000
17.73849043,0.00000000
17.73899443,0.00000000
17.73949843,0.00000000
17.74000243,0.04675197
17.74050643,0.04675197
17.74101043,0.00000000
17.74151443,0.00000000
17.74201843,0.00000000
17.74252243,0.00000000
17.74302643,0.00000000
17.74353043,-0.04675197
17.74403443,0.00000000
17.74453843,-0.04675197
17.74504243,0.00000000
17.74554643,-0.04675197
17.74605043,-0.04675197
17.74655443,0.00000000
17.74705843,-0.04675197
17.74756243,0.00000000
